seq_id,print_id,tile_id,P1,δP1,P2,δP2,P3,δP3,P4,δP4,P5,δP5
61,SI266220200309225433,13,"(41,456)",9364,"(42,456)",9193,"(42,457)",8736,"(41,455)",8295,"(40,455)",8199
62,SI266220200309225433,14,"(1,1)",7330,"(1,2)",6024,,,,,,
63,SI266220200309225433,15,,,,,,,,,,
64,SI266220200309225433,0,,,,,,,,,,
65,SI266220200309225433,1,,,,,,,,,,
66,SI266220200309225433,2,"(498,162)",6210,"(498,161)",6035,,,,,,
67,SI266220200309225433,3,"(498,94)",11699,"(498,93)",11444,"(498,95)",10079,"(499,94)",9275,"(499,93)",8865
68,SI266220200309225433,4,,,,,,,,,,
69,SI266220200309225433,5,,,,,,,,,,
70,SI266220200309225433,6,"(1,162)",7598,"(1,161)",7441,"(1,167)",7085,"(351,464)",6874,"(351,465)",6710
71,SI266220200309225433,7,"(1,93)",11302,"(1,94)",11248,"(440,93)",10403,"(440,94)",9852,"(439,93)",9835
72,SI266220200309225433,8,"(498,314)",7040,"(498,313)",6963,"(498,315)",6283,"(498,355)",6205,,
73,SI266220200309225433,9,"(251,498)",9552,"(250,498)",9424,"(252,498)",8618,"(251,499)",7638,"(498,498)",7635
74,SI266220200309225433,10,"(250,1)",9826,"(251,1)",9593,"(498,1)",8526,"(252,1)",8460,"(104,1)",8024
75,SI266220200309225433,11,,,,,,,,,,
76,SI266220200309225433,12,"(1,314)",6529,"(1,313)",6316,"(151,383)",6295,"(151,384)",6180,"(151,382)",6014
77,SI266220200309225433,13,"(1,498)",8034,"(2,498)",6441,"(1,497)",6239,"(1,499)",6207,"(0,498)",6045
78,SI266220200309225433,14,"(1,1)",8132,"(2,1)",6846,"(1,2)",6629,"(29,1)",6400,"(30,1)",6208
79,SI266220200309225433,15,,,,,,,,,,
80,SI266220200309225433,0,,,,,,,,,,
81,SI266220200309225433,1,,,,,,,,,,
82,SI266220200309225433,2,"(468,169)",6744,"(467,169)",6617,"(468,170)",6566,"(470,168)",6566,"(469,168)",6517
83,SI266220200309225433,3,"(498,184)",13444,"(498,183)",12808,"(498,185)",11698,"(498,182)",11240,"(364,164)",10713
84,SI266220200309225433,4,,,,,,,,,,
85,SI266220200309225433,5,"(361,466)",7714,"(360,465)",7587,"(361,465)",7559,"(360,466)",7501,"(362,466)",7454
86,SI266220200309225433,6,"(352,379)",7379,"(351,379)",7316,"(353,379)",7121,"(352,380)",7069,"(351,380)",6969
87,SI266220200309225433,7,"(1,183)",11882,"(1,184)",11674,"(1,182)",11565,"(1,181)",10904,"(41,183)",10688
88,SI266220200309225433,8,"(498,314)",6890,"(498,315)",6495,"(498,313)",6328,,,,
89,SI266220200309225433,9,"(76,474)",7367,"(75,474)",7153,"(76,492)",7107,"(256,446)",7015,"(76,473)",6968
90,SI266220200309225433,10,"(341,35)",7431,"(341,36)",7397,"(340,36)",7211,"(340,35)",6896,"(124,8)",6793
91,SI266220200309225433,11,,,,,,,,,,
92,SI266220200309225433,12,"(1,314)",6587,"(1,313)",6154,"(1,315)",6098,,,,
93,SI266220200309225433,13,"(1,498)",6306,,,,,,,,
94,SI266220200309225433,14,"(1,1)",6652,,,,,,,,
95,SI266220200309225433,15,,,,,,,,,,
96,SI266220200309225433,0,,,,,,,,,,
97,SI266220200309225433,1,,,,,,,,,,
98,SI266220200309225433,2,"(339,178)",7880,"(340,178)",7667,"(379,188)",7659,"(338,178)",7633,"(378,188)",7538
99,SI266220200309225433,3,"(498,183)",16208,"(498,182)",16096,"(498,184)",15331,"(498,135)",14034,"(498,139)",13796
0,SI266220200309225433,0,,,,,,,,,,
1,SI266220200309225433,1,,,,,,,,,,
2,SI266220200309225433,2,,,,,,,,,,
3,SI266220200309225433,3,,,,,,,,,,
4,SI266220200309225433,4,,,,,,,,,,
5,SI266220200309225433,5,,,,,,,,,,
6,SI266220200309225433,6,,,,,,,,,,
7,SI266220200309225433,7,,,,,,,,,,
8,SI266220200309225433,8,,,,,,,,,,
9,SI266220200309225433,9,,,,,,,,,,
10,SI266220200309225433,10,,,,,,,,,,
11,SI266220200309225433,11,,,,,,,,,,
12,SI266220200309225433,12,,,,,,,,,,
13,SI266220200309225433,13,,,,,,,,,,
14,SI266220200309225433,14,,,,,,,,,,
15,SI266220200309225433,15,,,,,,,,,,
16,SI266220200309225433,0,,,,,,,,,,
17,SI266220200309225433,1,,,,,,,,,,
18,SI266220200309225433,2,,,,,,,,,,
19,SI266220200309225433,3,,,,,,,,,,
20,SI266220200309225433,4,,,,,,,,,,
21,SI266220200309225433,5,,,,,,,,,,
22,SI266220200309225433,6,,,,,,,,,,
23,SI266220200309225433,7,,,,,,,,,,
24,SI266220200309225433,8,,,,,,,,,,
25,SI266220200309225433,9,,,,,,,,,,
26,SI266220200309225433,10,,,,,,,,,,
27,SI266220200309225433,11,,,,,,,,,,
28,SI266220200309225433,12,,,,,,,,,,
29,SI266220200309225433,13,,,,,,,,,,
30,SI266220200309225433,14,,,,,,,,,,
31,SI266220200309225433,15,,,,,,,,,,
32,SI266220200309225433,0,,,,,,,,,,
33,SI266220200309225433,1,,,,,,,,,,
34,SI266220200309225433,2,,,,,,,,,,
35,SI266220200309225433,3,"(498,94)",11481,"(498,93)",11025,"(498,95)",9803,"(383,168)",9428,"(499,94)",9403
36,SI266220200309225433,4,"(272,346)",7343,"(271,345)",7310,"(425,369)",7290,"(272,345)",7273,"(425,368)",7248
37,SI266220200309225433,5,,,,,,,,,,
38,SI266220200309225433,6,"(1,252)",6453,,,,,,,,
39,SI266220200309225433,7,"(1,94)",11652,"(1,95)",11170,"(1,93)",10661,"(1,96)",10463,"(1,97)",9850
40,SI266220200309225433,8,"(468,326)",6157,,,,,,,,
41,SI266220200309225433,9,"(169,498)",11962,"(170,498)",11384,"(168,498)",10852,"(167,498)",9209,"(169,497)",9206
42,SI266220200309225433,10,"(169,1)",11429,"(170,1)",11294,"(168,1)",10217,"(161,1)",9596,"(160,1)",9538
43,SI266220200309225433,11,,,,,,,,,,
44,SI266220200309225433,12,,,,,,,,,,
45,SI266220200309225433,13,,,,,,,,,,
46,SI266220200309225433,14,,,,,,,,,,
47,SI266220200309225433,15,,,,,,,,,,
48,SI266220200309225433,0,,,,,,,,,,
49,SI266220200309225433,1,,,,,,,,,,
50,SI266220200309225433,2,"(498,168)",13504,"(498,167)",13127,"(498,169)",12846,"(498,170)",12312,"(498,183)",11909
51,SI266220200309225433,3,"(498,179)",13536,"(498,178)",13163,"(498,167)",13073,"(498,160)",12884,"(498,173)",12864
52,SI266220200309225433,4,"(188,347)",6680,"(187,347)",6589,"(189,347)",6050,,,,
53,SI266220200309225433,5,"(349,469)",13262,"(349,468)",13180,"(348,469)",12338,"(350,469)",12335,"(349,467)",12305
54,SI266220200309225433,6,"(1,167)",14454,"(1,168)",14445,"(1,169)",13574,"(1,166)",12544,"(1,170)",12543
55,SI266220200309225433,7,"(1,148)",13432,"(1,160)",13375,"(1,179)",13237,"(1,173)",13182,"(1,178)",13182
56,SI266220200309225433,8,"(498,314)",6345,"(498,355)",6165,"(498,315)",6078,,,,
57,SI266220200309225433,9,"(81,498)",15744,"(169,498)",15024,"(140,498)",14759,"(82,498)",14714,"(168,498)",14453
58,SI266220200309225433,10,"(104,1)",16192,"(105,1)",15986,"(103,1)",15436,"(106,1)",15260,"(104,2)",15134
59,SI266220200309225433,11,,,,,,,,,,
60,SI266220200309225433,12,"(1,314)",6071,"(1,315)",6045,,,,,,
61,SI266220200309225433,13,"(41,456)",9364,"(42,456)",9193,"(42,457)",8736,"(41,455)",8295,"(40,455)",8199
62,SI266220200309225433,14,"(1,1)",7330,"(1,2)",6024,,,,,,
63,SI266220200309225433,15,,,,,,,,,,
64,SI266220200309225433,0,,,,,,,,,,
65,SI266220200309225433,1,,,,,,,,,,
66,SI266220200309225433,2,"(498,162)",6210,"(498,161)",6035,,,,,,
67,SI266220200309225433,3,"(498,94)",11699,"(498,93)",11444,"(498,95)",10079,"(499,94)",9275,"(499,93)",8865
68,SI266220200309225433,4,,,,,,,,,,
69,SI266220200309225433,5,,,,,,,,,,
70,SI266220200309225433,6,"(1,162)",7598,"(1,161)",7441,"(1,167)",7085,"(351,464)",6874,"(351,465)",6710
71,SI266220200309225433,7,"(1,93)",11302,"(1,94)",11248,"(440,93)",10403,"(440,94)",9852,"(439,93)",9835
72,SI266220200309225433,8,"(498,314)",7040,"(498,313)",6963,"(498,315)",6283,"(498,355)",6205,,
0,SI266220200309225433,0,,,,,,,,,,
1,SI266220200309225433,1,,,,,,,,,,
2,SI266220200309225433,2,,,,,,,,,,
3,SI266220200309225433,3,,,,,,,,,,
4,SI266220200309225433,4,,,,,,,,,,
5,SI266220200309225433,5,,,,,,,,,,
6,SI266220200309225433,6,,,,,,,,,,
7,SI266220200309225433,7,,,,,,,,,,
8,SI266220200309225433,8,,,,,,,,,,
9,SI266220200309225433,9,,,,,,,,,,
10,SI266220200309225433,10,,,,,,,,,,
11,SI266220200309225433,11,,,,,,,,,,
12,SI266220200309225433,12,,,,,,,,,,
13,SI266220200309225433,13,,,,,,,,,,
14,SI266220200309225433,14,,,,,,,,,,
15,SI266220200309225433,15,,,,,,,,,,
16,SI266220200309225433,0,,,,,,,,,,
17,SI266220200309225433,1,,,,,,,,,,
18,SI266220200309225433,2,,,,,,,,,,
19,SI266220200309225433,3,,,,,,,,,,
20,SI266220200309225433,4,,,,,,,,,,
21,SI266220200309225433,5,,,,,,,,,,
22,SI266220200309225433,6,,,,,,,,,,
23,SI266220200309225433,7,,,,,,,,,,
24,SI266220200309225433,8,,,,,,,,,,
25,SI266220200309225433,9,,,,,,,,,,
26,SI266220200309225433,10,,,,,,,,,,
27,SI266220200309225433,11,,,,,,,,,,
28,SI266220200309225433,12,,,,,,,,,,
29,SI266220200309225433,13,,,,,,,,,,
30,SI266220200309225433,14,,,,,,,,,,
31,SI266220200309225433,15,,,,,,,,,,
32,SI266220200309225433,0,,,,,,,,,,
33,SI266220200309225433,1,,,,,,,,,,
34,SI266220200309225433,2,,,,,,,,,,
35,SI266220200309225433,3,"(498,94)",11481,"(498,93)",11025,"(498,95)",9803,"(383,168)",9428,"(499,94)",9403
36,SI266220200309225433,4,"(272,346)",7343,"(271,345)",7310,"(425,369)",7290,"(272,345)",7273,"(425,368)",7248
37,SI266220200309225433,5,,,,,,,,,,
38,SI266220200309225433,6,"(1,252)",6453,,,,,,,,
39,SI266220200309225433,7,"(1,94)",11652,"(1,95)",11170,"(1,93)",10661,"(1,96)",10463,"(1,97)",9850
40,SI266220200309225433,8,"(468,326)",6157,,,,,,,,
41,SI266220200309225433,9,"(169,498)",11962,"(170,498)",11384,"(168,498)",10852,"(167,498)",9209,"(169,497)",9206
42,SI266220200309225433,10,"(169,1)",11429,"(170,1)",11294,"(168,1)",10217,"(161,1)",9596,"(160,1)",9538
43,SI266220200309225433,11,,,,,,,,,,
44,SI266220200309225433,12,,,,,,,,,,
45,SI266220200309225433,13,,,,,,,,,,
46,SI266220200309225433,14,,,,,,,,,,
47,SI266220200309225433,15,,,,,,,,,,
48,SI266220200309225433,0,,,,,,,,,,
49,SI266220200309225433,1,,,,,,,,,,
50,SI266220200309225433,2,"(498,168)",13504,"(498,167)",13127,"(498,169)",12846,"(498,170)",12312,"(498,183)",11909
51,SI266220200309225433,3,"(498,179)",13536,"(498,178)",13163,"(498,167)",13073,"(498,160)",12884,"(498,173)",12864
52,SI266220200309225433,4,"(188,347)",6680,"(187,347)",6589,"(189,347)",6050,,,,
53,SI266220200309225433,5,"(349,469)",13262,"(349,468)",13180,"(348,469)",12338,"(350,469)",12335,"(349,467)",12305
54,SI266220200309225433,6,"(1,167)",14454,"(1,168)",14445,"(1,169)",13574,"(1,166)",12544,"(1,170)",12543
55,SI266220200309225433,7,"(1,148)",13432,"(1,160)",13375,"(1,179)",13237,"(1,173)",13182,"(1,178)",13182
56,SI266220200309225433,8,"(498,314)",6345,"(498,355)",6165,"(498,315)",6078,,,,
0,SI266220200309225433,0,,,,,,,,,,
1,SI266220200309225433,1,,,,,,,,,,
2,SI266220200309225433,2,,,,,,,,,,
3,SI266220200309225433,3,,,,,,,,,,
4,SI266220200309225433,4,,,,,,,,,,
5,SI266220200309225433,5,,,,,,,,,,
6,SI266220200309225433,6,,,,,,,,,,
7,SI266220200309225433,7,,,,,,,,,,
8,SI266220200309225433,8,,,,,,,,,,
9,SI266220200309225433,9,,,,,,,,,,
10,SI266220200309225433,10,,,,,,,,,,
11,SI266220200309225433,11,,,,,,,,,,
12,SI266220200309225433,12,,,,,,,,,,
13,SI266220200309225433,13,,,,,,,,,,
14,SI266220200309225433,14,,,,,,,,,,
15,SI266220200309225433,15,,,,,,,,,,
16,SI266220200309225433,0,,,,,,,,,,
17,SI266220200309225433,1,,,,,,,,,,
18,SI266220200309225433,2,,,,,,,,,,
19,SI266220200309225433,3,,,,,,,,,,
20,SI266220200309225433,4,,,,,,,,,,
21,SI266220200309225433,5,,,,,,,,,,
22,SI266220200309225433,6,,,,,,,,,,
23,SI266220200309225433,7,,,,,,,,,,
24,SI266220200309225433,8,,,,,,,,,,
25,SI266220200309225433,9,,,,,,,,,,
26,SI266220200309225433,10,,,,,,,,,,
27,SI266220200309225433,11,,,,,,,,,,
28,SI266220200309225433,12,,,,,,,,,,
29,SI266220200309225433,13,,,,,,,,,,
30,SI266220200309225433,14,,,,,,,,,,
31,SI266220200309225433,15,,,,,,,,,,
32,SI266220200309225433,0,,,,,,,,,,
33,SI266220200309225433,1,,,,,,,,,,
34,SI266220200309225433,2,,,,,,,,,,
35,SI266220200309225433,3,"(498,94)",11481,"(498,93)",11025,"(498,95)",9803,"(383,168)",9428,"(499,94)",9403
36,SI266220200309225433,4,"(272,346)",7343,"(271,345)",7310,"(425,369)",7290,"(272,345)",7273,"(425,368)",7248
37,SI266220200309225433,5,,,,,,,,,,
38,SI266220200309225433,6,"(1,252)",6453,,,,,,,,
39,SI266220200309225433,7,"(1,94)",11652,"(1,95)",11170,"(1,93)",10661,"(1,96)",10463,"(1,97)",9850
40,SI266220200309225433,8,"(468,326)",6157,,,,,,,,
41,SI266220200309225433,9,"(169,498)",11962,"(170,498)",11384,"(168,498)",10852,"(167,498)",9209,"(169,497)",9206
42,SI266220200309225433,10,"(169,1)",11429,"(170,1)",11294,"(168,1)",10217,"(161,1)",9596,"(160,1)",9538
43,SI266220200309225433,11,,,,,,,,,,
44,SI266220200309225433,12,,,,,,,,,,
45,SI266220200309225433,13,,,,,,,,,,
46,SI266220200309225433,14,,,,,,,,,,
47,SI266220200309225433,15,,,,,,,,,,
48,SI266220200309225433,0,,,,,,,,,,
49,SI266220200309225433,1,,,,,,,,,,
50,SI266220200309225433,2,"(498,168)",13504,"(498,167)",13127,"(498,169)",12846,"(498,170)",12312,"(498,183)",11909
51,SI266220200309225433,3,"(498,179)",13536,"(498,178)",13163,"(498,167)",13073,"(498,160)",12884,"(498,173)",12864
52,SI266220200309225433,4,"(188,347)",6680,"(187,347)",6589,"(189,347)",6050,,,,
53,SI266220200309225433,5,"(349,469)",13262,"(349,468)",13180,"(348,469)",12338,"(350,469)",12335,"(349,467)",12305
54,SI266220200309225433,6,"(1,167)",14454,"(1,168)",14445,"(1,169)",13574,"(1,166)",12544,"(1,170)",12543
55,SI266220200309225433,7,"(1,148)",13432,"(1,160)",13375,"(1,179)",13237,"(1,173)",13182,"(1,178)",13182
56,SI266220200309225433,8,"(498,314)",6345,"(498,355)",6165,"(498,315)",6078,,,,
57,SI266220200309225433,9,"(81,498)",15744,"(169,498)",15024,"(140,498)",14759,"(82,498)",14714,"(168,498)",14453
58,SI266220200309225433,10,"(104,1)",16192,"(105,1)",15986,"(103,1)",15436,"(106,1)",15260,"(104,2)",15134
59,SI266220200309225433,11,,,,,,,,,,
60,SI266220200309225433,12,"(1,314)",6071,"(1,315)",6045,,,,,,
61,SI266220200309225433,13,"(41,456)",9364,"(42,456)",9193,"(42,457)",8736,"(41,455)",8295,"(40,455)",8199
62,SI266220200309225433,14,"(1,1)",7330,"(1,2)",6024,,,,,,
63,SI266220200309225433,15,,,,,,,,,,
64,SI266220200309225433,0,,,,,,,,,,
65,SI266220200309225433,1,,,,,,,,,,
66,SI266220200309225433,2,"(498,162)",6210,"(498,161)",6035,,,,,,
67,SI266220200309225433,3,"(498,94)",11699,"(498,93)",11444,"(498,95)",10079,"(499,94)",9275,"(499,93)",8865
68,SI266220200309225433,4,,,,,,,,,,
69,SI266220200309225433,5,,,,,,,,,,
70,SI266220200309225433,6,"(1,162)",7598,"(1,161)",7441,"(1,167)",7085,"(351,464)",6874,"(351,465)",6710
71,SI266220200309225433,7,"(1,93)",11302,"(1,94)",11248,"(440,93)",10403,"(440,94)",9852,"(439,93)",9835
72,SI266220200309225433,8,"(498,314)",7040,"(498,313)",6963,"(498,315)",6283,"(498,355)",6205,,
73,SI266220200309225433,9,"(251,498)",9552,"(250,498)",9424,"(252,498)",8618,"(251,499)",7638,"(498,498)",7635
74,SI266220200309225433,10,"(250,1)",9826,"(251,1)",9593,"(498,1)",8526,"(252,1)",8460,"(104,1)",8024
75,SI266220200309225433,11,,,,,,,,,,
76,SI266220200309225433,12,"(1,314)",6529,"(1,313)",6316,"(151,383)",6295,"(151,384)",6180,"(151,382)",6014
77,SI266220200309225433,13,"(1,498)",8034,"(2,498)",6441,"(1,497)",6239,"(1,499)",6207,"(0,498)",6045
78,SI266220200309225433,14,"(1,1)",8132,"(2,1)",6846,"(1,2)",6629,"(29,1)",6400,"(30,1)",6208
79,SI266220200309225433,15,,,,,,,,,,
80,SI266220200309225433,0,,,,,,,,,,
81,SI266220200309225433,1,,,,,,,,,,
82,SI266220200309225433,2,"(468,169)",6744,"(467,169)",6617,"(468,170)",6566,"(470,168)",6566,"(469,168)",6517
83,SI266220200309225433,3,"(498,184)",13444,"(498,183)",12808,"(498,185)",11698,"(498,182)",11240,"(364,164)",10713
84,SI266220200309225433,4,,,,,,,,,,
85,SI266220200309225433,5,"(361,466)",7714,"(360,465)",7587,"(361,465)",7559,"(360,466)",7501,"(362,466)",7454
86,SI266220200309225433,6,"(352,379)",7379,"(351,379)",7316,"(353,379)",7121,"(352,380)",7069,"(351,380)",6969
87,SI266220200309225433,7,"(1,183)",11882,"(1,184)",11674,"(1,182)",11565,"(1,181)",10904,"(41,183)",10688
88,SI266220200309225433,8,"(498,314)",6890,"(498,315)",6495,"(498,313)",6328,,,,
89,SI266220200309225433,9,"(76,474)",7367,"(75,474)",7153,"(76,492)",7107,"(256,446)",7015,"(76,473)",6968
90,SI266220200309225433,10,"(341,35)",7431,"(341,36)",7397,"(340,36)",7211,"(340,35)",6896,"(124,8)",6793
91,SI266220200309225433,11,,,,,,,,,,
92,SI266220200309225433,12,"(1,314)",6587,"(1,313)",6154,"(1,315)",6098,,,,
93,SI266220200309225433,13,"(1,498)",6306,,,,,,,,
94,SI266220200309225433,14,"(1,1)",6652,,,,,,,,
95,SI266220200309225433,15,,,,,,,,,,
96,SI266220200309225433,0,,,,,,,,,,
97,SI266220200309225433,1,,,,,,,,,,
98,SI266220200309225433,2,"(339,178)",7880,"(340,178)",7667,"(379,188)",7659,"(338,178)",7633,"(378,188)",7538
99,SI266220200309225433,3,"(498,183)",16208,"(498,182)",16096,"(498,184)",15331,"(498,135)",14034,"(498,139)",13796
100,SI266220200309225433,4,,,,,,,,,,
101,SI266220200309225433,5,,,,,,,,,,
102,SI266220200309225433,6,"(274,378)",8383,"(274,379)",8172,"(275,378)",8105,"(273,378)",8098,"(275,379)",7936
103,SI266220200309225433,7,"(1,183)",16464,"(1,184)",15793,"(1,94)",15256,"(1,146)",14735,"(1,136)",14268
104,SI266220200309225433,8,,,,,,,,,,
105,SI266220200309225433,9,"(163,447)",9560,"(163,446)",9429,"(162,447)",9312,"(164,447)",9221,"(162,446)",9033
106,SI266220200309225433,10,"(103,1)",7635,"(104,1)",7570,"(158,1)",7257,"(167,1)",7239,"(157,1)",7232
107,SI266220200309225433,11,,,,,,,,,,
108,SI266220200309225433,12,"(239,298)",7439,"(240,298)",7303,"(238,298)",7152,"(239,297)",6966,"(238,297)",6936
109,SI266220200309225433,13,,,,,,,,,,
110,SI266220200309225433,14,,,,,,,,,,
111,SI266220200309225433,15,,,,,,,,,,
112,SI266220200309225433,0,,,,,,,,,,
113,SI266220200309225433,1,,,,,,,,,,
114,SI266220200309225433,2,"(498,250)",8132,"(498,249)",8066,"(498,248)",7899,"(498,245)",7802,"(498,251)",7772
115,SI266220200309225433,3,"(498,94)",10670,"(498,95)",10035,"(451,183)",9385,"(450,183)",9013,"(450,182)",9010
116,SI266220200309225433,4,,,,,,,,,,
117,SI266220200309225433,5,,,,,,,,,,
118,SI266220200309225433,6,"(1,250)",7831,"(1,249)",7782,"(1,163)",7768,"(1,164)",7558,"(1,166)",7432
119,SI266220200309225433,7,"(1,94)",9440,"(1,183)",9413,"(1,95)",9376,"(1,184)",8809,"(1,182)",8701
120,SI266220200309225433,8,"(498,314)",6823,"(498,315)",6582,"(498,355)",6329,"(498,354)",6303,"(498,353)",6106
121,SI266220200309225433,9,"(108,498)",6966,"(107,498)",6876,"(109,498)",6860,"(116,498)",6725,"(117,498)",6647
122,SI266220200309225433,10,"(109,1)",6958,"(110,1)",6941,"(108,1)",6903,"(104,1)",6856,"(107,1)",6756
123,SI266220200309225433,11,,,,,,,,,,
124,SI266220200309225433,12,,,,,,,,,,
125,SI266220200309225433,13,"(1,498)",6090,,,,,,,,
126,SI266220200309225433,14,"(1,1)",6065,,,,,,,,
127,SI266220200309225433,15,,,,,,,,,,
128,SI266220200309225433,0,,,,,,,,,,
129,SI266220200309225433,1,,,,,,,,,,
130,SI266220200309225433,2,"(498,251)",12542,"(498,250)",11929,"(498,252)",11775,"(451,163)",11528,"(452,163)",11518
131,SI266220200309225433,3,"(498,94)",14015,"(498,184)",13762,"(498,93)",11285,"(499,94)",11001,"(498,113)",10814
132,SI266220200309225433,4,"(435,385)",6809,"(436,385)",6741,"(434,385)",6683,"(436,384)",6616,"(435,384)",6564
133,SI266220200309225433,5,,,,,,,,,,
134,SI266220200309225433,6,"(1,250)",12190,"(1,251)",11752,"(1,249)",11589,"(1,191)",10197,"(1,248)",10159
135,SI266220200309225433,7,"(1,184)",14088,"(1,94)",12819,"(2,184)",11213,"(1,117)",11157,"(1,185)",10943
136,SI266220200309225433,8,"(498,354)",7117,"(498,353)",7019,"(498,355)",6856,"(498,352)",6571,,
137,SI266220200309225433,9,"(251,447)",9809,"(252,447)",9685,"(253,447)",9540,"(253,448)",9395,"(254,447)",9385
138,SI266220200309225433,10,"(105,1)",10646,"(104,1)",10489,"(332,34)",10333,"(106,1)",10191,"(332,33)",10133
139,SI266220200309225433,11,,,,,,,,,,
140,SI266220200309225433,12,"(237,385)",7755,"(236,385)",7681,"(236,386)",7576,"(238,385)",7570,"(237,386)",7537
141,SI266220200309225433,13,"(1,498)",7677,"(2,498)",6281,"(1,497)",6155,,,,
142,SI266220200309225433,14,"(1,1)",8513,"(1,2)",7891,"(2,1)",7212,"(1,3)",6532,"(0,2)",6487
143,SI266220200309225433,15,,,,,,,,,,
144,SI266220200309225433,0,,,,,,,,,,
145,SI266220200309225433,1,,,,,,,,,,
146,SI266220200309225433,2,"(385,379)",6547,"(384,379)",6523,"(385,378)",6413,"(498,467)",6204,"(384,378)",6199
147,SI266220200309225433,3,"(498,94)",16102,"(498,95)",15386,"(498,96)",13951,"(498,93)",13688,"(498,99)",13181
148,SI266220200309225433,4,"(355,386)",7707,"(354,386)",7517,"(356,386)",7396,"(355,387)",7314,"(356,387)",7227
149,SI266220200309225433,5,"(438,230)",6123,"(438,231)",6029,,,,,,
