seq_id,print_id,tile_id,saturated,centroids
36,SI266220200309225433,4,0,"[{""x"": 396.3816425120773, ""y"": 346.40821256038646, ""count"": 414}, {""x"": 184.0, ""y"": 331.8888888888889, ""count"": 9}, {""x"": 263.0, ""y"": 348.30065359477123, ""count"": 153}, {""x"": 215.72727272727272, ""y"": 351.3636363636364, ""count"": 11}]"
37,SI266220200309225433,5,0,[]
38,SI266220200309225433,6,0,[]
39,SI266220200309225433,7,113,"[{""x"": 5.836363636363636, ""y"": 99.36363636363636, ""count"": 55}, {""x"": 255.6, ""y"": 98.2, ""count"": 5}, {""x"": 231.6, ""y"": 106.2, ""count"": 5}, {""x"": 207.875, ""y"": 113.875, ""count"": 8}, {""x"": 183.42857142857142, ""y"": 128.42857142857142, ""count"": 14}, {""x"": 0.75, ""y"": 163.27777777777777, ""count"": 36}, {""x"": 40.26923076923077, ""y"": 154.23076923076923, ""count"": 52}, {""x"": 439.54545454545456, ""y"": 180.72727272727272, ""count"": 11}]"
40,SI266220200309225433,8,0,[]
41,SI266220200309225433,9,0,"[{""x"": 75.28571428571429, ""y"": 474.0, ""count"": 7}, {""x"": 163.2941176470588, ""y"": 498.11764705882354, ""count"": 34}]"
42,SI266220200309225433,10,0,"[{""x"": 158.25786163522014, ""y"": 9.742138364779874, ""count"": 159}]"
43,SI266220200309225433,11,0,[]
44,SI266220200309225433,12,0,[]
45,SI266220200309225433,13,0,[]
46,SI266220200309225433,14,0,[]
47,SI266220200309225433,15,0,[]
48,SI266220200309225433,0,0,[]
49,SI266220200309225433,1,0,[]
50,SI266220200309225433,2,77,"[{""x"": 477.4816053511706, ""y"": 173.79933110367892, ""count"": 299}, {""x"": 320.7142857142857, ""y"": 178.0, ""count"": 7}, {""x"": 377.2, ""y"": 198.5, ""count"": 10}]"
51,SI266220200309225433,3,6667,"[{""x"": 345.8032258064516, ""y"": 149.65806451612903, ""count"": 310}, {""x"": 498.2857142857143, ""y"": 96.38095238095238, ""count"": 21}, {""x"": 450.43243243243245, ""y"": 105.70270270270271, ""count"": 37}, {""x"": 343.5, ""y"": 101.25, ""count"": 12}, {""x"": 497.55384615384617, ""y"": 173.04615384615386, ""count"": 65}, {""x"": 453.9230769230769, ""y"": 179.30769230769232, ""count"": 13}]"
52,SI266220200309225433,4,0,[]
53,SI266220200309225433,5,129,"[{""x"": 350.0, ""y"": 234.0, ""count"": 7}, {""x"": 406.5652173913044, ""y"": 239.47826086956522, ""count"": 23}, {""x"": 433.1951219512195, ""y"": 242.5121951219512, ""count"": 41}, {""x"": 419.852, ""y"": 283.316, ""count"": 250}, {""x"": 350.0, ""y"": 286.2857142857143, ""count"": 7}, {""x"": 402.4630715123095, ""y"": 462.19460726846427, ""count"": 853}, {""x"": 432.0, ""y"": 498.0, ""count"": 19}]"
54,SI266220200309225433,6,0,"[{""x"": 428.04545454545456, ""y"": 1.0, ""count"": 22}, {""x"": 21.162068965517243, ""y"": 173.26206896551724, ""count"": 290}]"
55,SI266220200309225433,7,2895,"[{""x"": 0.7272727272727273, ""y"": 96.36363636363636, ""count"": 22}, {""x"": 396.2907348242812, ""y"": 117.80511182108626, ""count"": 313}, {""x"": 25.3768115942029, ""y"": 164.8840579710145, ""count"": 138}]"
56,SI266220200309225433,8,0,[]
57,SI266220200309225433,9,358,"[{""x"": 152.36363636363637, ""y"": 445.90909090909093, ""count"": 11}, {""x"": 128.36470588235295, ""y"": 493.01882352941175, ""count"": 425}, {""x"": 54.705882352941174, ""y"": 485.6470588235294, ""count"": 17}, {""x"": 296.81976744186045, ""y"": 498.34302325581393, ""count"": 172}]"
58,SI266220200309225433,10,4,"[{""x"": 138.33639143730886, ""y"": 4.198776758409786, ""count"": 327}, {""x"": 294.66101694915255, ""y"": 0.6271186440677966, ""count"": 177}, {""x"": 497.0, ""y"": 0.8571428571428571, ""count"": 7}]"
59,SI266220200309225433,11,0,[]
60,SI266220200309225433,12,0,[]
61,SI266220200309225433,13,0,"[{""x"": 40.5, ""y"": 455.3125, ""count"": 16}]"
62,SI266220200309225433,14,0,[]
63,SI266220200309225433,15,0,[]
64,SI266220200309225433,0,0,[]
65,SI266220200309225433,1,0,[]
66,SI266220200309225433,2,0,[]
67,SI266220200309225433,3,268,"[{""x"": 498.40625, ""y"": 98.65625, ""count"": 32}, {""x"": 385.5, ""y"": 93.8, ""count"": 10}, {""x"": 350.70588235294116, ""y"": 101.11764705882354, ""count"": 17}, {""x"": 447.86046511627904, ""y"": 120.34883720930233, ""count"": 43}, {""x"": 315.5, ""y"": 113.0, ""count"": 6}, {""x"": 302.2352941176471, ""y"": 142.2549019607843, ""count"": 51}, {""x"": 475.6981132075472, ""y"": 141.75471698113208, ""count"": 53}, {""x"": 339.1, ""y"": 156.1, ""count"": 10}, {""x"": 451.85714285714283, ""y"": 184.57142857142858, ""count"": 7}]"
68,SI266220200309225433,4,0,[]
69,SI266220200309225433,5,0,[]
70,SI266220200309225433,6,0,"[{""x"": 0.75, ""y"": 164.5, ""count"": 8}, {""x"": 350.5, ""y"": 465.0, ""count"": 10}]"
71,SI266220200309225433,7,91,"[{""x"": 0.6666666666666666, ""y"": 100.6923076923077, ""count"": 39}, {""x"": 438.18518518518516, ""y"": 93.85185185185185, ""count"": 27}, {""x"": 35.06122448979592, ""y"": 95.18367346938776, ""count"": 49}, {""x"": 350.5833333333333, ""y"": 181.0, ""count"": 12}]"
72,SI266220200309225433,8,0,[]
73,SI266220200309225433,9,0,"[{""x"": 79.14285714285714, ""y"": 470.57142857142856, ""count"": 7}, {""x"": 252.26666666666668, ""y"": 498.1333333333333, ""count"": 15}, {""x"": 106.0, ""y"": 498.22222222222223, ""count"": 9}, {""x"": 132.6, ""y"": 498.2, ""count"": 5}]"
74,SI266220200309225433,10,0,"[{""x"": 123.22222222222223, ""y"": 1.1111111111111112, ""count"": 18}, {""x"": 251.12765957446808, ""y"": 20.106382978723403, ""count"": 47}, {""x"": 497.0, ""y"": 1.0, ""count"": 8}]"
75,SI266220200309225433,11,0,[]
76,SI266220200309225433,12,0,[]
77,SI266220200309225433,13,0,"[{""x"": 1.0, ""y"": 498.0, ""count"": 5}]"
78,SI266220200309225433,14,0,[]
79,SI266220200309225433,15,0,[]
80,SI266220200309225433,0,0,[]
81,SI266220200309225433,1,0,[]
82,SI266220200309225433,2,0,"[{""x"": 468.1363636363636, ""y"": 169.04545454545453, ""count"": 22}]"
83,SI266220200309225433,3,396,"[{""x"": 356.1136363636364, ""y"": 98.72727272727273, ""count"": 44}, {""x"": 498.45454545454544, ""y"": 95.27272727272727, ""count"": 11}, {""x"": 447.0769230769231, ""y"": 112.15384615384616, ""count"": 65}, {""x"": 289.85714285714283, ""y"": 127.55357142857143, ""count"": 56}, {""x"": 389.5, ""y"": 124.0, ""count"": 6}, {""x"": 498.0952380952381, ""y"": 171.14285714285714, ""count"": 42}, {""x"": 361.83417085427135, ""y"": 163.90954773869348, ""count"": 199}]"
84,SI266220200309225433,4,0,[]
85,SI266220200309225433,5,0,"[{""x"": 426.27777777777777, ""y"": 462.7936507936508, ""count"": 126}, {""x"": 357.7142857142857, ""y"": 465.7, ""count"": 70}]"
86,SI266220200309225433,6,0,"[{""x"": 352.2307692307692, ""y"": 379.38461538461536, ""count"": 13}]"
87,SI266220200309225433,7,727,"[{""x"": 0.5555555555555556, ""y"": 94.77777777777777, ""count"": 9}, {""x"": 14.28, ""y"": 177.1, ""count"": 100}]"
88,SI266220200309225433,8,0,[]
89,SI266220200309225433,9,0,"[{""x"": 253.4, ""y"": 447.8, ""count"": 25}, {""x"": 77.45454545454545, ""y"": 482.72727272727275, ""count"": 11}, {""x"": 164.27272727272728, ""y"": 486.0, ""count"": 11}]"
90,SI266220200309225433,10,0,"[{""x"": 340.3333333333333, ""y"": 35.333333333333336, ""count"": 6}]"
91,SI266220200309225433,11,0,[]
92,SI266220200309225433,12,0,[]
93,SI266220200309225433,13,0,[]
94,SI266220200309225433,14,0,[]
95,SI266220200309225433,15,0,[]
96,SI266220200309225433,0,0,[]
97,SI266220200309225433,1,0,[]
98,SI266220200309225433,2,0,"[{""x"": 381.2463768115942, ""y"": 183.92753623188406, ""count"": 69}, {""x"": 337.22222222222223, ""y"": 176.05555555555554, ""count"": 54}, {""x"": 498.0, ""y"": 239.7, ""count"": 10}]"
99,SI266220200309225433,3,7571,"[{""x"": 470.26517571884983, ""y"": 141.38658146964858, ""count"": 313}, {""x"": 353.4415584415584, ""y"": 134.48701298701297, ""count"": 308}]"
0,SI266220200309225433,0,0,[]
1,SI266220200309225433,1,0,[]
2,SI266220200309225433,2,0,[]
3,SI266220200309225433,3,5639,[]
4,SI266220200309225433,4,668,[]
5,SI266220200309225433,5,0,[]
6,SI266220200309225433,6,0,[]
7,SI266220200309225433,7,4555,[]
8,SI266220200309225433,8,0,[]
9,SI266220200309225433,9,1712,[]
10,SI266220200309225433,10,787,[]
11,SI266220200309225433,11,0,[]
12,SI266220200309225433,12,5,[]
13,SI266220200309225433,13,0,[]
14,SI266220200309225433,14,0,[]
15,SI266220200309225433,15,0,[]
16,SI266220200309225433,0,0,[]
17,SI266220200309225433,1,0,[]
18,SI266220200309225433,2,0,[]
19,SI266220200309225433,3,348,[]
20,SI266220200309225433,4,0,[]
21,SI266220200309225433,5,0,[]
22,SI266220200309225433,6,0,[]
23,SI266220200309225433,7,298,[]
24,SI266220200309225433,8,0,[]
25,SI266220200309225433,9,0,[]
26,SI266220200309225433,10,0,[]
27,SI266220200309225433,11,0,[]
28,SI266220200309225433,12,0,[]
29,SI266220200309225433,13,0,[]
30,SI266220200309225433,14,0,[]
31,SI266220200309225433,15,0,[]
32,SI266220200309225433,0,0,[]
33,SI266220200309225433,1,0,[]
34,SI266220200309225433,2,0,[]
35,SI266220200309225433,3,1253,"[{""x"": 498.264367816092, ""y"": 129.2528735632184, ""count"": 87}, {""x"": 363.0625, ""y"": 97.5, ""count"": 16}, {""x"": 446.4, ""y"": 98.8, ""count"": 10}, {""x"": 315.3333333333333, ""y"": 113.11111111111111, ""count"": 9}, {""x"": 287.875, ""y"": 127.3125, ""count"": 32}, {""x"": 383.42105263157896, ""y"": 158.0701754385965, ""count"": 57}, {""x"": 446.05263157894734, ""y"": 153.05263157894737, ""count"": 19}, {""x"": 336.7142857142857, ""y"": 155.42857142857142, ""count"": 7}, {""x"": 456.5263157894737, ""y"": 184.26315789473685, ""count"": 19}]"
36,SI266220200309225433,4,0,"[{""x"": 396.3816425120773, ""y"": 346.40821256038646, ""count"": 414}, {""x"": 184.0, ""y"": 331.8888888888889, ""count"": 9}, {""x"": 263.0, ""y"": 348.30065359477123, ""count"": 153}, {""x"": 215.72727272727272, ""y"": 351.3636363636364, ""count"": 11}]"
37,SI266220200309225433,5,0,[]
38,SI266220200309225433,6,0,[]
39,SI266220200309225433,7,113,"[{""x"": 5.836363636363636, ""y"": 99.36363636363636, ""count"": 55}, {""x"": 255.6, ""y"": 98.2, ""count"": 5}, {""x"": 231.6, ""y"": 106.2, ""count"": 5}, {""x"": 207.875, ""y"": 113.875, ""count"": 8}, {""x"": 183.42857142857142, ""y"": 128.42857142857142, ""count"": 14}, {""x"": 0.75, ""y"": 163.27777777777777, ""count"": 36}, {""x"": 40.26923076923077, ""y"": 154.23076923076923, ""count"": 52}, {""x"": 439.54545454545456, ""y"": 180.72727272727272, ""count"": 11}]"
40,SI266220200309225433,8,0,[]
41,SI266220200309225433,9,0,"[{""x"": 75.28571428571429, ""y"": 474.0, ""count"": 7}, {""x"": 163.2941176470588, ""y"": 498.11764705882354, ""count"": 34}]"
42,SI266220200309225433,10,0,"[{""x"": 158.25786163522014, ""y"": 9.742138364779874, ""count"": 159}]"
43,SI266220200309225433,11,0,[]
44,SI266220200309225433,12,0,[]
45,SI266220200309225433,13,0,[]
46,SI266220200309225433,14,0,[]
47,SI266220200309225433,15,0,[]
48,SI266220200309225433,0,0,[]
49,SI266220200309225433,1,0,[]
50,SI266220200309225433,2,77,"[{""x"": 477.4816053511706, ""y"": 173.79933110367892, ""count"": 299}, {""x"": 320.7142857142857, ""y"": 178.0, ""count"": 7}, {""x"": 377.2, ""y"": 198.5, ""count"": 10}]"
51,SI266220200309225433,3,6667,"[{""x"": 345.8032258064516, ""y"": 149.65806451612903, ""count"": 310}, {""x"": 498.2857142857143, ""y"": 96.38095238095238, ""count"": 21}, {""x"": 450.43243243243245, ""y"": 105.70270270270271, ""count"": 37}, {""x"": 343.5, ""y"": 101.25, ""count"": 12}, {""x"": 497.55384615384617, ""y"": 173.04615384615386, ""count"": 65}, {""x"": 453.9230769230769, ""y"": 179.30769230769232, ""count"": 13}]"
52,SI266220200309225433,4,0,[]
53,SI266220200309225433,5,129,"[{""x"": 350.0, ""y"": 234.0, ""count"": 7}, {""x"": 406.5652173913044, ""y"": 239.47826086956522, ""count"": 23}, {""x"": 433.1951219512195, ""y"": 242.5121951219512, ""count"": 41}, {""x"": 419.852, ""y"": 283.316, ""count"": 250}, {""x"": 350.0, ""y"": 286.2857142857143, ""count"": 7}, {""x"": 402.4630715123095, ""y"": 462.19460726846427, ""count"": 853}, {""x"": 432.0, ""y"": 498.0, ""count"": 19}]"
54,SI266220200309225433,6,0,"[{""x"": 428.04545454545456, ""y"": 1.0, ""count"": 22}, {""x"": 21.162068965517243, ""y"": 173.26206896551724, ""count"": 290}]"
55,SI266220200309225433,7,2895,"[{""x"": 0.7272727272727273, ""y"": 96.36363636363636, ""count"": 22}, {""x"": 396.2907348242812, ""y"": 117.80511182108626, ""count"": 313}, {""x"": 25.3768115942029, ""y"": 164.8840579710145, ""count"": 138}]"
56,SI266220200309225433,8,0,[]
57,SI266220200309225433,9,358,"[{""x"": 152.36363636363637, ""y"": 445.90909090909093, ""count"": 11}, {""x"": 128.36470588235295, ""y"": 493.01882352941175, ""count"": 425}, {""x"": 54.705882352941174, ""y"": 485.6470588235294, ""count"": 17}, {""x"": 296.81976744186045, ""y"": 498.34302325581393, ""count"": 172}]"
58,SI266220200309225433,10,4,"[{""x"": 138.33639143730886, ""y"": 4.198776758409786, ""count"": 327}, {""x"": 294.66101694915255, ""y"": 0.6271186440677966, ""count"": 177}, {""x"": 497.0, ""y"": 0.8571428571428571, ""count"": 7}]"
59,SI266220200309225433,11,0,[]
60,SI266220200309225433,12,0,[]
61,SI266220200309225433,13,0,"[{""x"": 40.5, ""y"": 455.3125, ""count"": 16}]"
62,SI266220200309225433,14,0,[]
63,SI266220200309225433,15,0,[]
64,SI266220200309225433,0,0,[]
65,SI266220200309225433,1,0,[]
66,SI266220200309225433,2,0,[]
67,SI266220200309225433,3,268,"[{""x"": 498.40625, ""y"": 98.65625, ""count"": 32}, {""x"": 385.5, ""y"": 93.8, ""count"": 10}, {""x"": 350.70588235294116, ""y"": 101.11764705882354, ""count"": 17}, {""x"": 447.86046511627904, ""y"": 120.34883720930233, ""count"": 43}, {""x"": 315.5, ""y"": 113.0, ""count"": 6}, {""x"": 302.2352941176471, ""y"": 142.2549019607843, ""count"": 51}, {""x"": 475.6981132075472, ""y"": 141.75471698113208, ""count"": 53}, {""x"": 339.1, ""y"": 156.1, ""count"": 10}, {""x"": 451.85714285714283, ""y"": 184.57142857142858, ""count"": 7}]"
68,SI266220200309225433,4,0,[]
69,SI266220200309225433,5,0,[]
70,SI266220200309225433,6,0,"[{""x"": 0.75, ""y"": 164.5, ""count"": 8}, {""x"": 350.5, ""y"": 465.0, ""count"": 10}]"
71,SI266220200309225433,7,91,"[{""x"": 0.6666666666666666, ""y"": 100.6923076923077, ""count"": 39}, {""x"": 438.18518518518516, ""y"": 93.85185185185185, ""count"": 27}, {""x"": 35.06122448979592, ""y"": 95.18367346938776, ""count"": 49}, {""x"": 350.5833333333333, ""y"": 181.0, ""count"": 12}]"
72,SI266220200309225433,8,0,[]
0,SI266220200309225433,0,0,[]
1,SI266220200309225433,1,0,[]
2,SI266220200309225433,2,0,[]
3,SI266220200309225433,3,5639,[]
4,SI266220200309225433,4,668,[]
5,SI266220200309225433,5,0,[]
6,SI266220200309225433,6,0,[]
7,SI266220200309225433,7,4555,[]
8,SI266220200309225433,8,0,[]
9,SI266220200309225433,9,1712,[]
10,SI266220200309225433,10,787,[]
11,SI266220200309225433,11,0,[]
12,SI266220200309225433,12,5,[]
13,SI266220200309225433,13,0,[]
14,SI266220200309225433,14,0,[]
15,SI266220200309225433,15,0,[]
16,SI266220200309225433,0,0,[]
17,SI266220200309225433,1,0,[]
18,SI266220200309225433,2,0,[]
19,SI266220200309225433,3,348,[]
20,SI266220200309225433,4,0,[]
21,SI266220200309225433,5,0,[]
22,SI266220200309225433,6,0,[]
23,SI266220200309225433,7,298,[]
24,SI266220200309225433,8,0,[]
25,SI266220200309225433,9,0,[]
26,SI266220200309225433,10,0,[]
27,SI266220200309225433,11,0,[]
28,SI266220200309225433,12,0,[]
29,SI266220200309225433,13,0,[]
30,SI266220200309225433,14,0,[]
31,SI266220200309225433,15,0,[]
32,SI266220200309225433,0,0,[]
33,SI266220200309225433,1,0,[]
34,SI266220200309225433,2,0,[]
35,SI266220200309225433,3,1253,"[{""x"": 498.264367816092, ""y"": 129.2528735632184, ""count"": 87}, {""x"": 363.0625, ""y"": 97.5, ""count"": 16}, {""x"": 446.4, ""y"": 98.8, ""count"": 10}, {""x"": 315.3333333333333, ""y"": 113.11111111111111, ""count"": 9}, {""x"": 287.875, ""y"": 127.3125, ""count"": 32}, {""x"": 383.42105263157896, ""y"": 158.0701754385965, ""count"": 57}, {""x"": 446.05263157894734, ""y"": 153.05263157894737, ""count"": 19}, {""x"": 336.7142857142857, ""y"": 155.42857142857142, ""count"": 7}, {""x"": 456.5263157894737, ""y"": 184.26315789473685, ""count"": 19}]"
36,SI266220200309225433,4,0,"[{""x"": 396.3816425120773, ""y"": 346.40821256038646, ""count"": 414}, {""x"": 184.0, ""y"": 331.8888888888889, ""count"": 9}, {""x"": 263.0, ""y"": 348.30065359477123, ""count"": 153}, {""x"": 215.72727272727272, ""y"": 351.3636363636364, ""count"": 11}]"
37,SI266220200309225433,5,0,[]
38,SI266220200309225433,6,0,[]
39,SI266220200309225433,7,113,"[{""x"": 5.836363636363636, ""y"": 99.36363636363636, ""count"": 55}, {""x"": 255.6, ""y"": 98.2, ""count"": 5}, {""x"": 231.6, ""y"": 106.2, ""count"": 5}, {""x"": 207.875, ""y"": 113.875, ""count"": 8}, {""x"": 183.42857142857142, ""y"": 128.42857142857142, ""count"": 14}, {""x"": 0.75, ""y"": 163.27777777777777, ""count"": 36}, {""x"": 40.26923076923077, ""y"": 154.23076923076923, ""count"": 52}, {""x"": 439.54545454545456, ""y"": 180.72727272727272, ""count"": 11}]"
40,SI266220200309225433,8,0,[]
41,SI266220200309225433,9,0,"[{""x"": 75.28571428571429, ""y"": 474.0, ""count"": 7}, {""x"": 163.2941176470588, ""y"": 498.11764705882354, ""count"": 34}]"
42,SI266220200309225433,10,0,"[{""x"": 158.25786163522014, ""y"": 9.742138364779874, ""count"": 159}]"
43,SI266220200309225433,11,0,[]
44,SI266220200309225433,12,0,[]
45,SI266220200309225433,13,0,[]
46,SI266220200309225433,14,0,[]
47,SI266220200309225433,15,0,[]
48,SI266220200309225433,0,0,[]
49,SI266220200309225433,1,0,[]
50,SI266220200309225433,2,77,"[{""x"": 477.4816053511706, ""y"": 173.79933110367892, ""count"": 299}, {""x"": 320.7142857142857, ""y"": 178.0, ""count"": 7}, {""x"": 377.2, ""y"": 198.5, ""count"": 10}]"
51,SI266220200309225433,3,6667,"[{""x"": 345.8032258064516, ""y"": 149.65806451612903, ""count"": 310}, {""x"": 498.2857142857143, ""y"": 96.38095238095238, ""count"": 21}, {""x"": 450.43243243243245, ""y"": 105.70270270270271, ""count"": 37}, {""x"": 343.5, ""y"": 101.25, ""count"": 12}, {""x"": 497.55384615384617, ""y"": 173.04615384615386, ""count"": 65}, {""x"": 453.9230769230769, ""y"": 179.30769230769232, ""count"": 13}]"
52,SI266220200309225433,4,0,[]
53,SI266220200309225433,5,129,"[{""x"": 350.0, ""y"": 234.0, ""count"": 7}, {""x"": 406.5652173913044, ""y"": 239.47826086956522, ""count"": 23}, {""x"": 433.1951219512195, ""y"": 242.5121951219512, ""count"": 41}, {""x"": 419.852, ""y"": 283.316, ""count"": 250}, {""x"": 350.0, ""y"": 286.2857142857143, ""count"": 7}, {""x"": 402.4630715123095, ""y"": 462.19460726846427, ""count"": 853}, {""x"": 432.0, ""y"": 498.0, ""count"": 19}]"
54,SI266220200309225433,6,0,"[{""x"": 428.04545454545456, ""y"": 1.0, ""count"": 22}, {""x"": 21.162068965517243, ""y"": 173.26206896551724, ""count"": 290}]"
55,SI266220200309225433,7,2895,"[{""x"": 0.7272727272727273, ""y"": 96.36363636363636, ""count"": 22}, {""x"": 396.2907348242812, ""y"": 117.80511182108626, ""count"": 313}, {""x"": 25.3768115942029, ""y"": 164.8840579710145, ""count"": 138}]"
56,SI266220200309225433,8,0,[]
0,SI266220200309225433,0,0,[]
1,SI266220200309225433,1,0,[]
2,SI266220200309225433,2,0,[]
3,SI266220200309225433,3,5639,[]
4,SI266220200309225433,4,668,[]
5,SI266220200309225433,5,0,[]
6,SI266220200309225433,6,0,[]
7,SI266220200309225433,7,4555,[]
8,SI266220200309225433,8,0,[]
9,SI266220200309225433,9,1712,[]
10,SI266220200309225433,10,787,[]
11,SI266220200309225433,11,0,[]
12,SI266220200309225433,12,5,[]
13,SI266220200309225433,13,0,[]
14,SI266220200309225433,14,0,[]
15,SI266220200309225433,15,0,[]
16,SI266220200309225433,0,0,[]
17,SI266220200309225433,1,0,[]
18,SI266220200309225433,2,0,[]
19,SI266220200309225433,3,348,[]
20,SI266220200309225433,4,0,[]
21,SI266220200309225433,5,0,[]
22,SI266220200309225433,6,0,[]
23,SI266220200309225433,7,298,[]
24,SI266220200309225433,8,0,[]
25,SI266220200309225433,9,0,[]
26,SI266220200309225433,10,0,[]
27,SI266220200309225433,11,0,[]
28,SI266220200309225433,12,0,[]
29,SI266220200309225433,13,0,[]
30,SI266220200309225433,14,0,[]
31,SI266220200309225433,15,0,[]
32,SI266220200309225433,0,0,[]
33,SI266220200309225433,1,0,[]
34,SI266220200309225433,2,0,[]
35,SI266220200309225433,3,1253,"[{""x"": 498.264367816092, ""y"": 129.2528735632184, ""count"": 87}, {""x"": 363.0625, ""y"": 97.5, ""count"": 16}, {""x"": 446.4, ""y"": 98.8, ""count"": 10}, {""x"": 315.3333333333333, ""y"": 113.11111111111111, ""count"": 9}, {""x"": 287.875, ""y"": 127.3125, ""count"": 32}, {""x"": 383.42105263157896, ""y"": 158.0701754385965, ""count"": 57}, {""x"": 446.05263157894734, ""y"": 153.05263157894737, ""count"": 19}, {""x"": 336.7142857142857, ""y"": 155.42857142857142, ""count"": 7}, {""x"": 456.5263157894737, ""y"": 184.26315789473685, ""count"": 19}]"
36,SI266220200309225433,4,0,"[{""x"": 396.3816425120773, ""y"": 346.40821256038646, ""count"": 414}, {""x"": 184.0, ""y"": 331.8888888888889, ""count"": 9}, {""x"": 263.0, ""y"": 348.30065359477123, ""count"": 153}, {""x"": 215.72727272727272, ""y"": 351.3636363636364, ""count"": 11}]"
37,SI266220200309225433,5,0,[]
38,SI266220200309225433,6,0,[]
39,SI266220200309225433,7,113,"[{""x"": 5.836363636363636, ""y"": 99.36363636363636, ""count"": 55}, {""x"": 255.6, ""y"": 98.2, ""count"": 5}, {""x"": 231.6, ""y"": 106.2, ""count"": 5}, {""x"": 207.875, ""y"": 113.875, ""count"": 8}, {""x"": 183.42857142857142, ""y"": 128.42857142857142, ""count"": 14}, {""x"": 0.75, ""y"": 163.27777777777777, ""count"": 36}, {""x"": 40.26923076923077, ""y"": 154.23076923076923, ""count"": 52}, {""x"": 439.54545454545456, ""y"": 180.72727272727272, ""count"": 11}]"
40,SI266220200309225433,8,0,[]
41,SI266220200309225433,9,0,"[{""x"": 75.28571428571429, ""y"": 474.0, ""count"": 7}, {""x"": 163.2941176470588, ""y"": 498.11764705882354, ""count"": 34}]"
42,SI266220200309225433,10,0,"[{""x"": 158.25786163522014, ""y"": 9.742138364779874, ""count"": 159}]"
43,SI266220200309225433,11,0,[]
44,SI266220200309225433,12,0,[]
45,SI266220200309225433,13,0,[]
46,SI266220200309225433,14,0,[]
47,SI266220200309225433,15,0,[]
48,SI266220200309225433,0,0,[]
49,SI266220200309225433,1,0,[]
50,SI266220200309225433,2,77,"[{""x"": 477.4816053511706, ""y"": 173.79933110367892, ""count"": 299}, {""x"": 320.7142857142857, ""y"": 178.0, ""count"": 7}, {""x"": 377.2, ""y"": 198.5, ""count"": 10}]"
51,SI266220200309225433,3,6667,"[{""x"": 345.8032258064516, ""y"": 149.65806451612903, ""count"": 310}, {""x"": 498.2857142857143, ""y"": 96.38095238095238, ""count"": 21}, {""x"": 450.43243243243245, ""y"": 105.70270270270271, ""count"": 37}, {""x"": 343.5, ""y"": 101.25, ""count"": 12}, {""x"": 497.55384615384617, ""y"": 173.04615384615386, ""count"": 65}, {""x"": 453.9230769230769, ""y"": 179.30769230769232, ""count"": 13}]"
52,SI266220200309225433,4,0,[]
53,SI266220200309225433,5,129,"[{""x"": 350.0, ""y"": 234.0, ""count"": 7}, {""x"": 406.5652173913044, ""y"": 239.47826086956522, ""count"": 23}, {""x"": 433.1951219512195, ""y"": 242.5121951219512, ""count"": 41}, {""x"": 419.852, ""y"": 283.316, ""count"": 250}, {""x"": 350.0, ""y"": 286.2857142857143, ""count"": 7}, {""x"": 402.4630715123095, ""y"": 462.19460726846427, ""count"": 853}, {""x"": 432.0, ""y"": 498.0, ""count"": 19}]"
54,SI266220200309225433,6,0,"[{""x"": 428.04545454545456, ""y"": 1.0, ""count"": 22}, {""x"": 21.162068965517243, ""y"": 173.26206896551724, ""count"": 290}]"
